,legend,MeOH,MeCHO,EtOH,EtCHO,Acetone,IPA
0,k,0.28303500808002974,2.5045495990173197,0.5593966568013437,4.053501005192705,2.7234270294777527,1.2610876736792382
1,d,-0.7235263602838689,-3.2133767981269723,-0.7500548421011525,-0.8014612535614201,-2.935848913130311,-18.350318059630446
2,R2,0.9948986377608798,0.9950100149280127,0.9951723708185916,0.993088119509898,0.994299492597732,0.9732776073799948
